IMUDataRawSeq,IMUDataRawTime,IMUDataRawOrienQx,IMUDataRawOrienQy,IMUDataRawOrienQz,IMUDataRawOrienQw,IMUDataRawOrienCovElems0,IMUDataRawOrienCovElems1,IMUDataRawOrienCovElems2,IMUDataRawOrienCovElems3,IMUDataRawOrienCovElems4,IMUDataRawOrienCovElems5,IMUDataRawOrienCovElems6,IMUDataRawOrienCovElems7,IMUDataRawOrienCovElems8,IMUDataRawAngVelX,IMUDataRawAngVelY,IMUDataRawAngVelZ,IMUDataRawAngVelCovElems0,IMUDataRawAngVelCovElems1,IMUDataRawAngVelCovElems2,IMUDataRawAngVelCovElems3,IMUDataRawAngVelCovElems4,IMUDataRawAngVelCovElems5,IMUDataRawAngVelCovElems6,IMUDataRawAngVelCovElems7,IMUDataRawAngVelCovElems8,IMUDataRawLinearAccX,IMUDataRawLinearAccY,IMUDataRawLinearAccZ,IMUDataRawLinearAccCovElems0,IMUDataRawLinearAccCovElems1,IMUDataRawLinearAccCovElems2,IMUDataRawLinearAccCovElems3,IMUDataRawLinearAccCovElems4,IMUDataRawLinearAccCovElems5,IMUDataRawLinearAccCovElems6,IMUDataRawLinearAccCovElems7,IMUDataRawLinearAccCovElems8
2588,384427892825717,-0.04508860036730766,0.01465349365025759,0.8040948510169983,0.5926076769828796,0,0,0,0,0,0,0,0,0,0.05000000074505806,-0.09000000357627869,0.009999999776482582,0,0,0,0,0,0,0,0,0,-0.07000000029802322,-0.05000000074505806,1.149999976158142,0,0,0,0,0,0,0,0,0
2589,384427916884651,-0.04508860036730766,0.01465349365025759,0.8040948510169983,0.5926076769828796,0,0,0,0,0,0,0,0,0,0.01999999955296516,0.05000000074505806,-0.05000000074505806,0,0,0,0,0,0,0,0,0,-0.07000000029802322,-0.02999999932944775,1.029999971389771,0,0,0,0,0,0,0,0,0
2590,384427940726145,-0.04805105924606323,0.01063285022974014,0.804158091545105,0.5923748016357422,0,0,0,0,0,0,0,0,0,-0.1099999994039536,-0.02999999932944775,-0.1099999994039536,0,0,0,0,0,0,0,0,0,-0.1400000005960464,-0.05000000074505806,1.129999995231628,0,0,0,0,0,0,0,0,0
2591,384427964498868,-0.04805105924606323,0.01063285022974014,0.804158091545105,0.5923748016357422,0,0,0,0,0,0,0,0,0,-0.05000000074505806,0.009999999776482582,0.07999999821186066,0,0,0,0,0,0,0,0,0,-0.07999999821186066,-0.01999999955296516,1.110000014305115,0,0,0,0,0,0,0,0,0
2592,384427988625780,-0.04805105924606323,0.01063285022974014,0.804158091545105,0.5923748016357422,0,0,0,0,0,0,0,0,0,-0,-0.05000000074505806,-0.03999999910593033,0,0,0,0,0,0,0,0,0,-0.05999999865889549,-0.02999999932944775,1.100000023841858,0,0,0,0,0,0,0,0,0
2593,384428013076872,-0.04403502494096756,0.007663615047931671,0.8042696118354797,0.5925812721252441,0,0,0,0,0,0,0,0,0,-0.02999999932944775,0.05000000074505806,-0.05999999865889549,0,0,0,0,0,0,0,0,0,-0.07000000029802322,-0.03999999910593033,1.129999995231628,0,0,0,0,0,0,0,0,0
2594,384428036849079,-0.04805105924606323,0.01063285022974014,0.804158091545105,0.5923748016357422,0,0,0,0,0,0,0,0,0,0.02999999932944775,0.05999999865889549,-0.01999999955296516,0,0,0,0,0,0,0,0,0,-0.07000000029802322,-0.03999999910593033,1.070000052452087,0,0,0,0,0,0,0,0,0
2595,384428060974248,-0.04805105924606323,0.01063285022974014,0.804158091545105,0.5923748016357422,0,0,0,0,0,0,0,0,0,-0.05000000074505806,-0.01999999955296516,-0.009999999776482582,0,0,0,0,0,0,0,0,0,-0.09000000357627869,-0.02999999932944775,1.059999942779541,0,0,0,0,0,0,0,0,0
2596,384428085099496,-0.04805105924606323,0.01063285022974014,0.804158091545105,0.5923748016357422,0,0,0,0,0,0,0,0,0,-0.1700000017881393,-0,0.01999999955296516,0,0,0,0,0,0,0,0,0,-0.1000000014901161,-0.01999999955296516,1.159999966621399,0,0,0,0,0,0,0,0,0
2597,384428108812217,-0.04403502494096756,0.007663615047931671,0.8042696118354797,0.5925812721252441,0,0,0,0,0,0,0,0,0,-0.05999999865889549,-0.02999999932944775,0.02999999932944775,0,0,0,0,0,0,0,0,0,-0.07000000029802322,-0.03999999910593033,1.159999966621399,0,0,0,0,0,0,0,0,0
2598,384428132982439,-0.04403502494096756,0.007663615047931671,0.8042696118354797,0.5925812721252441,0,0,0,0,0,0,0,0,0,0.02999999932944775,-0.009999999776482582,-0.02999999932944775,0,0,0,0,0,0,0,0,0,-0.05000000074505806,-0.05000000074505806,1.159999966621399,0,0,0,0,0,0,0,0,0
2599,384428157095681,-0.04403502494096756,0.007663615047931671,0.8042696118354797,0.5925812721252441,0,0,0,0,0,0,0,0,0,0.07000000029802322,0.03999999910593033,-0.09000000357627869,0,0,0,0,0,0,0,0,0,-0.05999999865889549,-0.05000000074505806,1.110000014305115,0,0,0,0,0,0,0,0,0
2600,384428180870891,-0.04403502494096756,0.007663615047931671,0.8042696118354797,0.5925812721252441,0,0,0,0,0,0,0,0,0,0.1000000014901161,-0.09000000357627869,-0.1800000071525574,0,0,0,0,0,0,0,0,0,-0.1400000005960464,-0.03999999910593033,1.070000052452087,0,0,0,0,0,0,0,0,0
2601,384428204645643,-0.04399615526199341,0.007883695885539055,0.8012966513633728,0.5965952277183533,0,0,0,0,0,0,0,0,0,0.07000000029802322,-0.09000000357627869,-0.05000000074505806,0,0,0,0,0,0,0,0,0,-0.1500000059604645,-0.07000000029802322,1.080000042915344,0,0,0,0,0,0,0,0,0
2602,384428228769255,-0.04403502494096756,0.007663615047931671,0.8042696118354797,0.5925812721252441,0,0,0,0,0,0,0,0,0,0.009999999776482582,0.01999999955296516,0.05999999865889549,0,0,0,0,0,0,0,0,0,-0.07000000029802322,-0.03999999910593033,1.080000042915344,0,0,0,0,0,0,0,0,0
2603,384428252868358,-0.04403502494096756,0.007663615047931671,0.8042696118354797,0.5925812721252441,0,0,0,0,0,0,0,0,0,0.05000000074505806,0.009999999776482582,-0.1099999994039536,0,0,0,0,0,0,0,0,0,-0.1099999994039536,-0.05000000074505806,1.059999942779541,0,0,0,0,0,0,0,0,0
2604,384428276998229,-0.04399615526199341,0.007883695885539055,0.8012966513633728,0.5965952277183533,0,0,0,0,0,0,0,0,0,0.009999999776482582,-0.009999999776482582,-0.1000000014901161,0,0,0,0,0,0,0,0,0,-0.1500000059604645,-0.03999999910593033,1.059999942779541,0,0,0,0,0,0,0,0,0
2605,384428301121949,-0.04799729585647583,0.01087297312915325,0.8011860847473145,0.5963881611824036,0,0,0,0,0,0,0,0,0,-0.05999999865889549,0.1400000005960464,-0.009999999776482582,0,0,0,0,0,0,0,0,0,-0.1299999952316284,-0.01999999955296516,1.139999985694885,0,0,0,0,0,0,0,0,0
2606,384428324892008,-0.04799729585647583,0.01087297312915325,0.8011860847473145,0.5963881611824036,0,0,0,0,0,0,0,0,0,0,0.2899999916553497,-0.009999999776482582,0,0,0,0,0,0,0,0,0,-0.09000000357627869,-0.03999999910593033,1.120000004768372,0,0,0,0,0,0,0,0,0
2607,384428349016550,-0.05199722945690155,0.01386197656393051,0.8010555505752563,0.5961662530899048,0,0,0,0,0,0,0,0,0,0.009999999776482582,0.1099999994039536,-0.05000000074505806,0,0,0,0,0,0,0,0,0,-0.09000000357627869,-0.03999999910593033,1.019999980926514,0,0,0,0,0,0,0,0,0
2608,384428372793300,-0.05199722945690155,0.01386197656393051,0.8010555505752563,0.5961662530899048,0,0,0,0,0,0,0,0,0,-0.1500000059604645,-0.07999999821186066,-0.03999999910593033,0,0,0,0,0,0,0,0,0,-0.119999997317791,-0.05999999865889549,1.100000023841858,0,0,0,0,0,0,0,0,0
2609,384428396616218,-0.05199722945690155,0.01386197656393051,0.8010555505752563,0.5961662530899048,0,0,0,0,0,0,0,0,0,-0.2099999934434891,0.05999999865889549,0.05000000074505806,0,0,0,0,0,0,0,0,0,-0.05999999865889549,-0.01999999955296516,1.179999947547913,0,0,0,0,0,0,0,0,0
2610,384428421017005,-0.04799729585647583,0.01087297312915325,0.8011860847473145,0.5963881611824036,0,0,0,0,0,0,0,0,0,-0.03999999910593033,-0.02999999932944775,-0.02999999932944775,0,0,0,0,0,0,0,0,0,-0.03999999910593033,-0.009999999776482582,1.169999957084656,0,0,0,0,0,0,0,0,0
2611,384428445144168,-0.04799729585647583,0.01087297312915325,0.8011860847473145,0.5963881611824036,0,0,0,0,0,0,0,0,0,-0,-0.05999999865889549,-0.1099999994039536,0,0,0,0,0,0,0,0,0,-0.09000000357627869,-0.02999999932944775,1.120000004768372,0,0,0,0,0,0,0,0,0
2612,384428468617964,-0.04799729585647583,0.01087297312915325,0.8011860847473145,0.5963881611824036,0,0,0,0,0,0,0,0,0,-0.05999999865889549,0.05000000074505806,-0.01999999955296516,0,0,0,0,0,0,0,0,0,-0.09000000357627869,-0.01999999955296516,1.129999995231628,0,0,0,0,0,0,0,0,0
2613,384428492672832,-0.04799729585647583,0.01087297312915325,0.8011860847473145,0.5963881611824036,0,0,0,0,0,0,0,0,0,-0.02999999932944775,0.009999999776482582,0.01999999955296516,0,0,0,0,0,0,0,0,0,-0.07999999821186066,-0.009999999776482582,1.110000014305115,0,0,0,0,0,0,0,0,0
2614,384428516814758,-0.04799729585647583,0.01087297312915325,0.8011860847473145,0.5963881611824036,0,0,0,0,0,0,0,0,0,0.01999999955296516,-0.07999999821186066,-0.02999999932944775,0,0,0,0,0,0,0,0,0,-0.1000000014901161,-0.009999999776482582,1.120000004768372,0,0,0,0,0,0,0,0,0
2615,384428540913586,-0.04799729585647583,0.01087297312915325,0.8011860847473145,0.5963881611824036,0,0,0,0,0,0,0,0,0,0.01999999955296516,-0.05000000074505806,0.009999999776482582,0,0,0,0,0,0,0,0,0,-0.1299999952316284,-0.03999999910593033,1.080000042915344,0,0,0,0,0,0,0,0,0
2616,384428564688644,-0.04799729585647583,0.01087297312915325,0.8011860847473145,0.5963881611824036,0,0,0,0,0,0,0,0,0,-0.07999999821186066,-0.2000000029802322,0.1299999952316284,0,0,0,0,0,0,0,0,0,-0.1099999994039536,-0.01999999955296516,1.059999942779541,0,0,0,0,0,0,0,0,0
2617,384428589128912,-0.04403502494096756,0.007663615047931671,0.8042696118354797,0.5925812721252441,0,0,0,0,0,0,0,0,0,-0.05999999865889549,-0.2199999988079071,0.1000000014901161,0,0,0,0,0,0,0,0,0,-0.09000000357627869,-0.02999999932944775,1.149999976158142,0,0,0,0,0,0,0,0,0
2618,384428612612143,-0.04403502494096756,0.007663615047931671,0.8042696118354797,0.5925812721252441,0,0,0,0,0,0,0,0,0,0.07999999821186066,-0.009999999776482582,0.05000000074505806,0,0,0,0,0,0,0,0,0,-0.05999999865889549,-0.01999999955296516,1.110000014305115,0,0,0,0,0,0,0,0,0
2619,384428637035735,-0.04403502494096756,0.007663615047931671,0.8042696118354797,0.5925812721252441,0,0,0,0,0,0,0,0,0,0.1400000005960464,0.01999999955296516,-0.1099999994039536,0,0,0,0,0,0,0,0,0,-0.119999997317791,-0.02999999932944775,1.100000023841858,0,0,0,0,0,0,0,0,0
2620,384428661125892,-0.04101264476776123,0.01189006585627794,0.801247239112854,0.5968077778816223,0,0,0,0,0,0,0,0,0,0.1400000005960464,-0.03999999910593033,-0.05000000074505806,0,0,0,0,0,0,0,0,0,-0.1800000071525574,-0.05999999865889549,1.019999980926514,0,0,0,0,0,0,0,0,0
2621,384428684611127,-0.04101264476776123,0.01189006585627794,0.801247239112854,0.5968077778816223,0,0,0,0,0,0,0,0,0,-0.07000000029802322,-0.07999999821186066,0.1299999952316284,0,0,0,0,0,0,0,0,0,-0.119999997317791,-0.02999999932944775,1.070000052452087,0,0,0,0,0,0,0,0,0
2622,384428708713589,-0.04403502494096756,0.007663615047931671,0.8042696118354797,0.5925812721252441,0,0,0,0,0,0,0,0,0,-0.03999999910593033,-0.1000000014901161,0.119999997317791,0,0,0,0,0,0,0,0,0,-0.07999999821186066,-0.009999999776482582,1.129999995231628,0,0,0,0,0,0,0,0,0
2623,384428733200713,-0.0410715788602829,0.0116848535835743,0.8042213320732117,0.5927941203117371,0,0,0,0,0,0,0,0,0,0.05000000074505806,-0.01999999955296516,0.05000000074505806,0,0,0,0,0,0,0,0,0,-0.1099999994039536,-0.03999999910593033,1.120000004768372,0,0,0,0,0,0,0,0,0
2624,384428756610893,-0.0410715788602829,0.0116848535835743,0.8042213320732117,0.5927941203117371,0,0,0,0,0,0,0,0,0,0.05000000074505806,0.03999999910593033,0.119999997317791,0,0,0,0,0,0,0,0,0,-0.1099999994039536,-0.05999999865889549,1.080000042915344,0,0,0,0,0,0,0,0,0
2625,384428781057846,-0.04112949222326279,0.01147934980690479,0.8071751594543457,0.588765561580658,0,0,0,0,0,0,0,0,0,-0.05000000074505806,0.09000000357627869,0.1899999976158142,0,0,0,0,0,0,0,0,0,-0.05999999865889549,-0.03999999910593033,1.120000004768372,0,0,0,0,0,0,0,0,0
2626,384428804836099,-0.04112949222326279,0.01147934980690479,0.8071751594543457,0.588765561580658,0,0,0,0,0,0,0,0,0,-0.009999999776482582,0.07000000029802322,0.1500000059604645,0,0,0,0,0,0,0,0,0,-0.03999999910593033,-0.05000000074505806,1.139999985694885,0,0,0,0,0,0,0,0,0
2627,384428828957926,-0.04112949222326279,0.01147934980690479,0.8071751594543457,0.588765561580658,0,0,0,0,0,0,0,0,0,0.05999999865889549,-0.03999999910593033,0.03999999910593033,0,0,0,0,0,0,0,0,0,-0.07000000029802322,-0.05000000074505806,1.070000052452087,0,0,0,0,0,0,0,0,0
2628,384428852736302,-0.04112949222326279,0.01147934980690479,0.8071751594543457,0.588765561580658,0,0,0,0,0,0,0,0,0,-0.07000000029802322,-0.07000000029802322,0.01999999955296516,0,0,0,0,0,0,0,0,0,-0.09000000357627869,-0.07000000029802322,1.149999976158142,0,0,0,0,0,0,0,0,0
2629,384428876507370,-0.04410945624113083,0.007222890853881836,0.8101550936698914,0.5845091342926025,0,0,0,0,0,0,0,0,0,-0.07000000029802322,0.07000000029802322,0.119999997317791,0,0,0,0,0,0,0,0,0,-0.03999999910593033,-0.05000000074505806,1.149999976158142,0,0,0,0,0,0,0,0,0
2630,384428901306264,-0.04410945624113083,0.007222890853881836,0.8101550936698914,0.5845091342926025,0,0,0,0,0,0,0,0,0,0.02999999932944775,-0.07000000029802322,-0.03999999910593033,0,0,0,0,0,0,0,0,0,-0.03999999910593033,-0.03999999910593033,1.090000033378601,0,0,0,0,0,0,0,0,0
2631,384428924759755,-0.04006283357739449,0.004293788224458694,0.8102484941482544,0.5846998691558838,0,0,0,0,0,0,0,0,0,0.03999999910593033,-0.1800000071525574,-0.1500000059604645,0,0,0,0,0,0,0,0,0,-0.1099999994039536,-0.07000000029802322,1.129999995231628,0,0,0,0,0,0,0,0,0
2632,384428948854623,-0.04006283357739449,0.004293788224458694,0.8102484941482544,0.5846998691558838,0,0,0,0,0,0,0,0,0,0.01999999955296516,0.01999999955296516,-0.03999999910593033,0,0,0,0,0,0,0,0,0,-0.07999999821186066,-0.07000000029802322,1.129999995231628,0,0,0,0,0,0,0,0,0
2633,384428972979077,-0.04006283357739449,0.004293788224458694,0.8102484941482544,0.5846998691558838,0,0,0,0,0,0,0,0,0,0.05999999865889549,0.02999999932944775,-0.05999999865889549,0,0,0,0,0,0,0,0,0,-0.05999999865889549,-0.03999999910593033,1.110000014305115,0,0,0,0,0,0,0,0,0
2634,384428997430257,-0.03709665313363075,0.008530545979738235,0.8072823286056519,0.5889366865158081,0,0,0,0,0,0,0,0,0,0.119999997317791,-0.07000000029802322,-0.1500000059604645,0,0,0,0,0,0,0,0,0,-0.1099999994039536,-0.03999999910593033,1.090000033378601,0,0,0,0,0,0,0,0,0
2635,384429021209096,-0.03709665313363075,0.008530545979738235,0.8072823286056519,0.5889366865158081,0,0,0,0,0,0,0,0,0,0.07000000029802322,-0.05000000074505806,-0.07000000029802322,0,0,0,0,0,0,0,0,0,-0.1299999952316284,-0.05000000074505806,1.090000033378601,0,0,0,0,0,0,0,0,0
2636,384429044652841,-0.03709665313363075,0.008530545979738235,0.8072823286056519,0.5889366865158081,0,0,0,0,0,0,0,0,0,0,-0.05999999865889549,0.05000000074505806,0,0,0,0,0,0,0,0,0,-0.07999999821186066,-0.05000000074505806,1.080000042915344,0,0,0,0,0,0,0,0,0
2637,384429068778423,-0.03709665313363075,0.008530545979738235,0.8072823286056519,0.5889366865158081,0,0,0,0,0,0,0,0,0,-0.07000000029802322,-0.1899999976158142,0.01999999955296516,0,0,0,0,0,0,0,0,0,-0.03999999910593033,-0.01999999955296516,1.139999985694885,0,0,0,0,0,0,0,0,0
